cohort,cohort_years,dod_occ_code_level,dod_occ_code,geo_level,geography,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,A,000,N,00,312300,262900,155000,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1
0,16,A,000,S,01,6952,6066,3640,24470,32630,37650,36910,47630,54700,56230,70820,80150,1,1,1,1,1,1
0,16,A,000,S,02,2879,1853,989,28230,37160,43430,41430,54130,63950,58250,73590,85230,1,1,1,1,1,1
0,16,A,000,S,04,6927,7202,4095,23760,32390,37990,37110,48080,55870,58340,69480,80140,1,1,1,1,1,1
0,16,A,000,S,05,2089,2122,1317,19730,24980,28670,27790,36330,42090,38670,49580,58230,1,1,1,1,1,1
0,16,A,000,S,06,17540,16880,9978,21840,31070,39140,32300,46890,58750,48330,67480,84340,1,1,1,1,1,1
0,16,A,000,S,08,10230,7496,4089,24610,32700,38350,36320,47250,55590,51540,67520,79810,1,1,1,1,1,1
0,16,A,000,S,09,1287,1223,693,21930,31430,41350,33360,46400,60240,48880,64340,83360,1,1,1,1,1,1
0,16,A,000,S,10,574,504.5,320,22960,28390,31950,33140,43130,47320,48210,57300,67850,1,1,1,1,1,1
0,16,A,000,S,11,1806,2435,1618,45840,56870,65810,64410,77040,90200,86210,101600,115500,1,1,1,1,1,1
0,16,A,000,S,12,17410,15630,9714,21410,28310,32680,31010,40510,46680,44480,57580,66860,1,1,1,1,1,1
0,16,A,000,S,13,19290,15560,9125,24770,31970,35140,35730,44550,48950,50410,61170,66820,1,1,1,1,1,1
0,16,A,000,S,15,2093,1528,815.5,24850,34230,39700,39480,53050,59830,63480,75690,84480,1,1,1,1,1,1
0,16,A,000,S,16,1316,1132,682,20060,24890,29020,27690,35360,41410,36930,47870,56180,1,1,1,1,1,1
0,16,A,000,S,17,6602,6464,3840,20860,28880,37380,30620,43370,54210,45090,61230,76070,1,1,1,1,1,1
0,16,A,000,S,18,5061,4033,2393,21990,27890,32680,31370,39890,46500,42870,54680,64630,1,1,1,1,1,1
0,16,A,000,S,19,2241,1900,1117,21500,26870,32620,30520,39550,46040,41740,52910,60950,1,1,1,1,1,1
0,16,A,000,S,20,5394,3693,1979,23230,30610,35210,32950,42430,48290,44970,56700,65720,1,1,1,1,1,1
0,16,A,000,S,21,7736,6139,3462,25570,33600,36660,36790,46390,50940,50930,61080,66800,1,1,1,1,1,1
0,16,A,000,S,22,4932,3945,2312,22370,29570,34900,32990,44050,50080,47200,61290,71380,1,1,1,1,1,1
0,16,A,000,S,23,1155,1003,616,19840,24500,30620,27220,34980,41710,36180,45900,57410,1,1,1,1,1,1
0,16,A,000,S,24,8160,6708,4033,31760,42610,49070,50700,64730,73060,78580,94100,101400,1,1,1,1,1,1
0,16,A,000,S,25,912.5,1317,1404,22830,33610,40220,33360,49830,59780,51030,70530,85420,1,1,1,1,1,1
0,16,A,000,S,26,5346,4547,2845,20670,27340,33490,29780,41260,48410,42720,58200,71090,1,1,1,1,1,1
0,16,A,000,S,27,2515,2287,1283,21380,28280,35490,30990,40810,49550,42480,55950,66590,1,1,1,1,1,1
0,16,A,000,S,28,1431,1600,958,21270,26570,29190,31240,37940,42240,44500,52730,59030,1,1,1,1,1,1
0,16,A,000,S,29,6728,5357,3032,22040,28250,32340,31270,39900,46110,44330,56270,64340,1,1,1,1,1,1
0,16,A,000,S,30,1016,909,560.5,19080,24830,29310,26210,35870,41650,36090,52100,61490,1,1,1,1,1,1
0,16,A,000,S,31,1865,1358,744,21610,27440,30590,30010,38390,43590,39980,51750,57910,1,1,1,1,1,1
0,16,A,000,S,32,3040,2527,1440,22880,30580,33820,32620,43450,50950,47800,65160,73980,1,1,1,1,1,1
0,16,A,000,S,33,786.5,795,457.5,21930,29190,37450,31140,42550,51100,41300,57510,67160,1,1,1,1,1,1
0,16,A,000,S,34,3271,2994,1781,22640,33170,38840,34620,50080,58830,52250,69400,84690,1,1,1,1,1,1
0,16,A,000,S,35,2257,1931,1198,22360,29830,37270,33740,43870,53110,49390,63100,73480,1,1,1,1,1,1
0,16,A,000,S,36,8855,8674,5419,21270,29920,37780,31160,44790,54650,45310,63870,81850,1,1,1,1,1,1
0,16,A,000,S,37,14540,11630,6749,24340,31540,35130,36250,44520,48410,52640,62370,67990,1,1,1,1,1,1
0,16,A,000,S,38,906.5,766,507.5,23160,30520,41120,37370,47360,57150,60980,73750,88250,1,1,1,1,1,1
0,16,A,000,S,39,7765,6627,3951,20690,26810,32850,29350,38650,46200,40700,52940,63870,1,1,1,1,1,1
0,16,A,000,S,40,6412,4991,2866,22180,28290,33780,31230,40420,46910,44590,55800,64160,1,1,1,1,1,1
0,16,A,000,S,41,2745,2521,1565,20740,27070,32090,29850,39750,47980,41980,55680,67260,1,1,1,1,1,1
0,16,A,000,S,42,7188,7339,4737,21850,29240,35480,31770,42970,51170,44900,57770,68780,1,1,1,1,1,1
0,16,A,000,S,44,426,344,203,19960,27800,35780,28020,39070,48820,41610,52530,67260,1,1,1,1,1,1
0,16,A,000,S,45,6029,5043,3042,23280,29030,32620,32700,40980,44660,44710,55810,61020,1,1,1,1,1,1
0,16,A,000,S,46,675,596.5,347,19730,25550,27940,27140,35050,40110,36130,45320,53310,1,1,1,1,1,1
0,16,A,000,S,47,8569,6378,3598,22120,28740,32840,31680,40950,46750,43870,56440,63280,1,1,1,1,1,1
0,16,A,000,S,48,46730,36390,20900,24210,33080,38790,35950,47350,55020,52310,66560,77390,1,1,1,1,1,1
0,16,A,000,S,49,1810,1414,804.5,22000,28510,34000,30780,42090,50370,43770,59620,70420,1,1,1,1,1,1
0,16,A,000,S,50,390,332,223,22260,27110,33670,31480,43240,49050,41530,55700,72230,1,1,1,1,1,1
0,16,A,000,S,51,20230,16560,9259,33670,42620,46690,55860,68220,73210,89430,103700,109600,1,1,1,1,1,1
0,16,A,000,S,53,11690,8824,5155,24220,34540,40610,36140,49780,57720,51400,67850,78910,1,1,1,1,1,1
0,16,A,000,S,54,1340,1351,912,20680,26200,31880,29310,39460,47100,42350,56130,65980,1,1,1,1,1,1
0,16,A,000,S,55,3676,3252,1778,20700,27510,33000,29370,38670,45890,40130,51820,60740,1,1,1,1,1,1
0,16,A,000,S,56,970,761.5,492,26440,31790,40180,40970,48500,55970,57620,73220,78370,1,1,1,1,1,1
0,16,2,10X,N,00,87590,73730,43830,21720,29320,35020,31390,42570,50430,44950,60190,71850,1,1,1,1,1,1
0,16,2,10X,S,01,1490,1231,777,22760,29360,34210,32640,41710,47190,46700,59120,70180,1,1,1,1,1,1
0,16,2,10X,S,02,936,597,325,28890,36380,41340,41060,54350,62180,58590,74590,86770,1,1,1,1,1,1
0,16,2,10X,S,04,1877,1913,1139,20830,28680,34820,30010,42250,50000,44040,60780,72720,1,1,1,1,1,1
0,16,2,10X,S,05,676,668,403,19500,24990,28340,26900,36100,40910,36830,49210,55320,1,1,1,1,1,1
0,16,2,10X,S,06,6068,5902,3472,20930,29850,37720,30180,44370,57050,43780,65730,83410,1,1,1,1,1,1
0,16,2,10X,S,08,2835,2100,1148,22250,30470,34610,32770,43310,52420,45900,60090,72920,1,1,1,1,1,1
0,16,2,10X,S,09,440,412,225,20590,31150,43330,29890,44480,59320,43370,60050,79330,1,1,1,1,1,1
0,16,2,10X,S,10,163,140,77,20500,26440,29150,33310,44000,50870,50740,61870,75210,1,1,1,1,1,1
0,16,2,10X,S,11,180,336,219,31460,49240,51910,47480,66360,75340,66110,87560,97060,1,1,1,1,1,1
0,16,2,10X,S,12,4518,3980,2501,20230,26510,30270,28710,38970,44530,40610,54850,62700,1,1,1,1,1,1
0,16,2,10X,S,13,4388,3477,2025,24140,31330,33840,34360,42850,46550,46500,57140,62790,1,1,1,1,1,1
0,16,2,10X,S,15,413,318,170,21550,29200,38380,31720,45830,55950,48610,65100,76210,1,1,1,1,1,1
0,16,2,10X,S,16,497,434,250,19590,24410,25870,26230,34860,37710,34490,46460,52480,1,1,1,1,1,1
0,16,2,10X,S,17,2144,2086,1194,19850,27510,36750,28280,40630,52890,40290,58390,74220,1,1,1,1,1,1
0,16,2,10X,S,18,1874,1357,822,21220,27310,32380,29670,38900,45460,40500,52180,61570,1,1,1,1,1,1
0,16,2,10X,S,19,765,626,379,20950,25880,32360,28950,38230,44720,38660,51490,60780,1,1,1,1,1,1
0,16,2,10X,S,20,1658,1210,635,21940,29290,34640,30260,40340,46440,40450,53540,60940,1,1,1,1,1,1
0,16,2,10X,S,21,2256,1848,1084,23100,31570,35130,32980,43840,49720,45080,55730,65380,1,1,1,1,1,1
0,16,2,10X,S,22,1341,1053,605,22480,30720,37390,32800,45400,52120,46710,62090,73760,1,1,1,1,1,1
0,16,2,10X,S,23,419,348,213,18770,22680,29490,25470,33830,41190,35900,42960,55980,1,1,1,1,1,1
0,16,2,10X,S,24,1088,948,583,22940,33060,38090,34440,48390,58790,51290,69780,84210,1,1,1,1,1,1
0,16,2,10X,S,25,379,518,554,22890,33310,39060,33200,50530,59680,48580,69490,82140,1,1,1,1,1,1
0,16,2,10X,S,26,1851,1427,909,19320,26020,32370,27320,38240,46930,38160,54170,68260,1,1,1,1,1,1
