cohort,cohort_years,dod_occ_code_level,dod_occ_code,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,3,165,244,246,158,241,116,73,23230,30500,38610,35110,43680,53670,50890,62010,73150,1,1,1,1,1,1,1,1,1
0,16,3,166,3226,2798,1780,3634,1885,912,23950,30890,36740,35380,44910,52380,50780,62860,74500,1,1,1,1,1,1,1,1,1
0,16,3,169,1129,1098,803,1847,909,515,20430,26960,30110,29650,39010,44980,41190,52200,63910,1,1,1,1,1,1,1,1,1
0,16,3,170,5698,6001,4902,4855,3722,2512,22670,31460,37580,32820,44020,51460,45350,60140,71500,1,1,1,1,1,1,1,1,1
0,16,3,171,4258,3296,1873,4339,2132,1092,22540,30620,34700,32660,44070,50330,46390,60050,68670,1,1,1,1,1,1,1,1,1
0,16,3,172,2837,2342,1477,3786,1666,774,22280,29360,36590,32430,43120,51730,45270,59270,72940,1,1,1,1,1,1,1,1,1
0,16,3,174,110,151,107,127,91,66,21750,26270,29640,29780,39960,43620,38560,54020,63570,1,1,1,1,1,1,1,1,1
0,16,3,176,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5
0,16,3,180,6820,6080,3717,10290,5055,2606,19590,24720,28390,27600,35470,40740,38740,48510,56180,1,1,1,1,1,1,1,1,1
0,16,3,181,10200,7402,4017,13780,5972,2578,22070,28210,32360,31330,40270,45880,43480,54450,63070,1,1,1,1,1,1,1,1,1
0,16,3,182,8123,6860,4137,11540,5626,2793,21000,26920,30990,29650,38680,44640,41630,53590,61960,1,1,1,1,1,1,1,1,1
0,16,3,183,13520,10830,6132,10810,4546,2135,25790,36010,42990,36740,49330,59550,49720,66940,82720,1,1,1,1,1,1,1,1,1
0,16,3,184,632,579,375,1126,541,268,19830,23260,29140,26910,34690,39870,38660,46460,56490,1,1,1,1,1,1,1,1,1
0,16,3,186,1044,906,589,1522,741,375,20160,28830,33780,29290,40840,47730,42300,57470,66990,1,1,1,1,1,1,1,1,1
2000,8,A,000,182800,198200,155000,135400,118800,84100,23230,31460,36500,34280,45750,52630,49450,65220,75530,1,1,1,1,1,1,1,1,1
2008,8,A,000,129400,64620,,207500,50090,,23470,30190,,35190,44350,,53650,64890,,1,1,-1,1,1,-1,1,1,-1
