cohort,cohort_years,dod_occ_code_level,dod_occ_code,ind_level,industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn
2000,8,A,000,A,00,182800,198200,155000,23230,31460,36500,34280,45750,52630,49450,65220,75530,1,1,1,1,1,1
2000,8,A,000,N,11,491,460,403,19270,24680,25310,27240,34310,35930,36210,46430,47620,1,1,1,1,1,1
2000,8,A,000,N,21,1995,2442,2218,34930,48320,56760,49490,67770,81230,65000,90540,109500,1,1,1,1,1,1
2000,8,A,000,N,22,857,1393,1414,29850,44240,54340,41220,61030,74290,56760,81630,97320,1,1,1,1,1,1
2000,8,A,000,N,23,12370,11290,7557,22140,28880,33800,31030,41200,48440,42840,57520,68970,1,1,1,1,1,1
2000,8,A,000,N,31-33,17620,18080,14370,24750,31880,36590,34660,44820,51100,48010,61890,71810,1,1,1,1,1,1
2000,8,A,000,N,42,8439,8403,6647,24870,31480,36050,34640,43640,50200,47580,59750,69830,1,1,1,1,1,1
2000,8,A,000,N,44-45,19160,14760,9465,17860,21890,24690,24660,31300,36190,34740,44290,52280,1,1,1,1,1,1
2000,8,A,000,N,48-49,11230,10130,7553,23710,30280,33200,34540,43950,47650,48730,61130,65680,1,1,1,1,1,1
2000,8,A,000,N,51,5744,5928,4273,29100,37080,44190,43170,53090,62540,65660,77860,86680,1,1,1,1,1,1
2000,8,A,000,N,52,3451,4098,3377,22750,30320,36950,31620,41850,51210,42700,56650,72920,1,1,1,1,1,1
2000,8,A,000,N,53,2815,2488,1773,20910,26920,30990,30440,38490,43580,42120,52340,60830,1,1,1,1,1,1
2000,8,A,000,N,54,18510,20250,13630,39540,48330,50830,58740,71050,75030,82410,101000,108000,1,1,1,1,1,1
2000,8,A,000,N,55,1676,1974,1806,23880,32480,38090,35740,48120,56240,53160,71620,82240,1,1,1,1,1,1
2000,8,A,000,N,56,23630,17370,11120,20620,24750,26200,30060,37580,40460,43820,56400,62550,1,1,1,1,1,1
2000,8,A,000,N,61,5436,7411,6845,26120,30940,34870,40270,46180,49600,55670,62600,66040,1,1,1,1,1,1
2000,8,A,000,N,62,9397,12670,11450,21310,26290,31200,29960,37630,45790,42850,54210,64980,1,1,1,1,1,1
2000,8,A,000,N,71,1766,1770,1240,18380,22730,24750,24950,33060,38310,34130,47600,57200,1,1,1,1,1,1
2000,8,A,000,N,72,6385,5468,3817,15860,18120,19990,21130,24850,27780,29770,36930,42070,1,1,1,1,1,1
2000,8,A,000,N,81,4580,4176,2861,22280,26970,29780,32970,40250,43600,45850,54980,60430,1,1,1,1,1,1
2000,8,A,000,N,92,12090,17070,14320,27290,36030,39810,35300,46210,52820,43880,60660,72280,1,1,1,1,1,1
2000,8,A,000,N,99,15210,30540,28800,33320,43320,48330,42610,55410,63600,55790,72540,84280,1,1,1,1,1,1
2000,8,2,10X,A,00,51170,54980,43830,21550,29480,35020,31150,42760,50430,43570,59890,71860,1,1,1,1,1,1
2000,8,2,11X,A,00,11640,12950,9905,25450,34310,39820,39430,51300,59020,61910,75520,84770,1,1,1,1,1,1
2000,8,2,12X,A,00,21590,23330,18100,24500,34070,39920,38460,52200,60360,62980,80400,88700,1,1,1,1,1,1
2000,8,2,13X,A,00,3755,4085,2022,26530,34610,40780,38350,49000,57250,53920,67090,79210,1,1,1,1,1,1
