cohort,cohort_years,race,ethnicity,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
2004,2,A0,A1,43570,43740,47590,30830,30320,26210,22780,33190,36750,34600,47980,53340,51430,69160,76570,1,1,1,1,1,1,1,1,1
2004,2,A1,A0,34830,34810,38080,23460,23200,19720,22660,33190,37790,34240,48090,54770,50930,68910,78370,1,1,1,1,1,1,1,1,1
2004,2,A2,A0,12390,12690,13470,9699,9316,8460,23380,33760,34800,35440,48090,50060,51760,68990,71640,1,1,1,1,1,1,1,1,1
2004,2,A3,A0,633,612,683,545,542,468,21130,29180,34150,31100,42230,47920,46230,58820,67670,1,1,1,1,1,1,1,1,1
2004,2,A4,A0,982,1094,1304,1134,997,796,21810,34040,39910,33530,49330,57840,51100,71700,83450,1,1,1,1,1,1,1,1,1
2004,2,A5,A0,240,247,237,175,174,166,24070,34740,36640,37180,50370,53540,53980,71590,69800,1,1,1,1,1,1,1,1,1
2004,2,A7,A0,1367,1412,1541,1196,1154,1015,21830,32210,36500,33720,47890,52740,49800,70280,75060,1,1,1,1,1,1,1,1,1
2006,2,A0,A0,44730,44830,,32370,31990,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,1,1,-1
2006,2,A0,A2,6300,6278,,4805,4801,,24040,33600,,35520,48700,,51120,69360,,1,1,-1,1,1,-1,1,1,-1
2006,2,A0,A1,38440,38540,,27570,27190,,24270,32940,,36390,48030,,53870,69820,,1,1,-1,1,1,-1,1,1,-1
2006,2,A1,A0,31750,31710,,22130,21920,,23810,32400,,35610,47700,,52550,69430,,1,1,-1,1,1,-1,1,1,-1
2006,2,A2,A0,10130,10110,,7421,7401,,25860,35120,,38450,49610,,55490,70940,,1,1,-1,1,1,-1,1,1,-1
2006,2,A3,A0,520,526,,517,502,,22060,27460,,32860,41260,,44410,57960,,1,1,-1,1,1,-1,1,1,-1
2006,2,A4,A0,935,1104,,1137,972,,24000,35600,,36860,51430,,57900,73870,,1,1,-1,1,1,-1,1,1,-1
2006,2,A5,A0,230,210,,147,168,,27000,35290,,38020,52050,,59040,72280,,1,1,-1,1,1,-1,1,1,-1
2006,2,A7,A0,1175,1158,,1024,1030,,23600,33310,,35320,47790,,54280,71200,,1,1,-1,1,1,-1,1,1,-1
2008,2,A0,A0,29470,41600,,44150,31810,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,1,1,-1
2008,2,A0,A2,4036,5708,,6326,4612,,26330,29960,,39970,44090,,59510,65040,,1,1,-1,1,1,-1,1,1,-1
2008,2,A0,A1,25430,35820,,37850,27200,,26960,30670,,41590,45090,,63890,66280,,1,1,-1,1,1,-1,1,1,-1
2008,2,A1,A0,21370,31170,,32470,22480,,25780,30380,,39460,44590,,61210,65470,,1,1,-1,1,1,-1,1,1,-1
2008,2,A2,A0,6266,7652,,7925,6479,,32020,32020,,48050,47140,,68810,69060,,1,1,-1,1,1,-1,1,1,-1
2008,2,A3,A0,312,444,,647,520,,22910,27200,,33460,39010,,51270,54620,,1,1,-1,1,1,-1,1,1,-1
2008,2,A4,A0,606,1042,,1447,995,,27900,30590,,44500,44940,,70030,69180,,1,1,-1,1,1,-1,1,1,-1
2008,2,A5,A0,113,147,,212,172,,24930,29320,,36370,44150,,50180,60840,,1,1,-1,1,1,-1,1,1,-1
2008,2,A7,A0,799,1080,,1471,1164,,26750,28050,,39880,42890,,58610,63920,,1,1,-1,1,1,-1,1,1,-1
2010,2,A0,A0,30500,23060,,57710,18280,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,1,1,-1
2010,2,A0,A2,3800,3063,,8320,2655,,23220,29310,,35480,42800,,56840,60150,,1,1,-1,1,1,-1,1,1,-1
2010,2,A0,A1,26680,19980,,49380,15630,,24200,29550,,37320,43350,,61130,63020,,1,1,-1,1,1,-1,1,1,-1
2010,2,A1,A0,23300,17780,,42480,13190,,23420,29560,,35740,43260,,57680,62400,,1,1,-1,1,1,-1,1,1,-1
2010,2,A2,A0,5320,3700,,10420,3532,,27640,29830,,44050,43800,,69710,64290,,1,1,-1,1,1,-1,1,1,-1
2010,2,A3,A0,363,316,,897,295,,21410,24870,,32750,36770,,51590,54050,,1,1,-1,1,1,-1,1,1,-1
2010,2,A4,A0,582,597,,1728,515,,26870,31480,,43180,45760,,68690,67060,,1,1,-1,1,1,-1,1,1,-1
2010,2,A5,A0,143,98,,327,118,,23800,27630,,36010,40180,,68640,58190,,1,1,-1,1,1,-1,1,1,-1
2010,2,A7,A0,769,550,,1852,636,,24600,27300,,37050,41630,,62190,58660,,1,1,-1,1,1,-1,1,1,-1
2012,2,A0,A0,44940,,,72890,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A0,A2,5692,,,10680,,,21940,,,32380,,,48090,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A0,A1,39240,,,62220,,,22090,,,32210,,,47510,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A1,A0,35050,,,51690,,,22110,,,32160,,,47300,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A2,A0,7173,,,15080,,,22000,,,32780,,,49570,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A3,A0,536,,,1094,,,20930,,,30730,,,43330,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A4,A0,920,,,2197,,,23020,,,33810,,,51350,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A5,A0,192,,,384,,,20900,,,31700,,,45130,,,1,-1,-1,1,-1,-1,1,-1,-1
2012,2,A7,A0,1061,,,2460,,,21500,,,30560,,,46040,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A0,A0,24550,,,32780,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A0,A2,3231,,,4994,,,22180,,,32170,,,46150,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A0,A1,21340,,,27780,,,22680,,,33080,,,47020,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A1,A0,19040,,,22550,,,22720,,,33020,,,46880,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A2,A0,3792,,,7219,,,22160,,,32470,,,46070,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A3,A0,330,,,461,,,20740,,,29650,,,40540,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A4,A0,614,,,1146,,,24610,,,37550,,,56020,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A5,A0,120,,,226,,,22170,,,31790,,,47290,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,A7,A0,676,,,1173,,,21750,,,32430,,,47180,,,1,-1,-1,1,-1,-1,1,-1,-1
